iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
1, 5e-05, 369.652, -48.6166, 0.000205164, 287589, 0.159618, -37823.7, 98162, -0.145097, -8906.52 
2, 0.0001, 126.307, -11.4478, -0.00018651, 98266.9, -0.145104, -8906.42, 3409.54, 0.135523, -601.505 
3, 0.00015, 4.45685, -0.766354, 0.000173918, 3467.43, 0.135308, -596.223, 539.074, 0.0170517, -175.612 
4, 0.0002, 0.795972, -0.224733, 2.18574e-05, 619.266, 0.017005, -174.842, 488.293, 0.00474287, -189.007 
5, 0.00025, 0.704488, -0.241926, 5.93937e-06, 548.091, 0.00462082, -188.219, 543.243, 0.044664, -197.726 
6, 0.0003, 0.762713, -0.253774, 5.72783e-05, 593.391, 0.0445625, -197.436, 588.325, 0.0195919, -200.481 
7, 0.00035, 0.81434, -0.257316, 2.47231e-05, 633.557, 0.0192345, -200.192, 620.516, 0.0127847, -202.125 
8, 0.0004, 0.852323, -0.259464, 1.59727e-05, 663.107, 0.0124268, -201.863, 640.512, 0.0220663, -203.333 
9, 0.00045, 0.876543, -0.261054, 2.76905e-05, 681.95, 0.0215432, -203.1, 651.148, 0.0401301, -204.565 
10, 0.0005, 0.890042, -0.262656, 5.08595e-05, 692.452, 0.0395687, -204.347, 655.106, 0.0164306, -205.759 
11, 0.00055, 0.896098, -0.264219, 2.07896e-05, 697.164, 0.0161743, -205.562, 654.448, 0.0230748, -206.694 
12, 0.0006, 0.896999, -0.265406, 2.92851e-05, 697.865, 0.0227838, -206.486, 650.345, 0.037298, -207.533 
13, 0.00065, 0.893889, -0.266491, 4.81482e-05, 695.446, 0.0374593, -207.33, 644.174, 0.0471901, -208.04 
14, 0.0007, 0.888423, -0.267157, 6.14694e-05, 691.193, 0.0478232, -207.848, 636.763, 0.0179931, -208.398 
15, 0.00075, 0.88143, -0.267701, 2.60483e-05, 685.752, 0.0202656, -208.271, 630.066, 0.0279842, -208.272 
